"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing","filenames"
1,1,"brood",30,69,4,2,3034,0.8258,1.0465,1.0085,15.4422,0.6371,0.6865,0.9482,0,0.677037037037037,0.0299259259259259,0.293037037037037,0,0.667574931880109,0.0245231607629428,0.307901907356948,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 00101_brood.csv"
1,2,"brood",30,117,3,3,1614,0.9789,1.076,1.0534,19.0127,0.4274,0.9159,0.4874,0.112888888888889,0.44237037037037,0.0968888888888889,0.347851851851852,0.0517711171662125,0.367847411444142,0.133514986376022,0.446866485013624,1.97375328083989,6.29009377093101,"hive_data/heat_brood//Beehive Data Out Trial 00102_brood.csv"
1,3,"brood",30,84,3,3,1359,0.4628,1.0145,0.9629,12.1777,0.5695,0.4464,0.619,0.0118518518518519,0.600592592592593,0.233777777777778,0.153777777777778,0.00272479564032698,0.569482288828338,0.29700272479564,0.130790190735695,0.8,12.4571780957079,"hive_data/heat_brood//Beehive Data Out Trial 00103_brood.csv"
1,4,"brood",30,111,3,1,3688,0.2183,1.0878,0.9472,10.9066,0.2763,0.3141,0.8542,0.159111111111111,0.361481481481481,0.23437037037037,0.245037037037037,0.32425068119891,0.228882833787466,0.136239782016349,0.310626702997275,3.09124767225326,11.5670737704918,"hive_data/heat_brood//Beehive Data Out Trial 00104_brood.csv"
1,5,"brood",30,100,2,2,1556,0.3371,1.0179,0.976,9.3902,0.9561,0.7499,0.6667,0,0.68237037037037,0.206518518518519,0.111111111111111,0,0.643051771117166,0.23433242506812,0.122615803814714,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 00105_brood.csv"
1,6,"brood",30,88,2,4,1147,0.4904,0.9177,0.9324,17.2473,0.7631,0.6459,0.1577,0,0.675259259259259,0.244148148148148,0.0805925925925926,0,0.64850136239782,0.277929155313351,0.0735694822888283,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 00106_brood.csv"
1,7,"brood",30,78,3,2,2210,0.5083,0.9839,0.9277,6.0487,0.1347,0.7873,0.2817,0.193777777777778,0.504296296296296,0.0942222222222222,0.207703703703704,0.125340599455041,0.509536784741144,0.0899182561307902,0.275204359673025,3.03669724770642,6.54856639247944,"hive_data/heat_brood//Beehive Data Out Trial 00107_brood.csv"
1,8,"brood",30,102,3,1,2733,0.6033,1.0024,1.0731,13.8858,0.4616,0.3862,0.0867,0.0613333333333333,0.557925925925926,0.106666666666667,0.274074074074074,0.149863760217984,0.411444141689373,0.0572207084468665,0.381471389645777,1.6231884057971,9.60335103558152,"hive_data/heat_brood//Beehive Data Out Trial 00108_brood.csv"
1,9,"brood",30,115,3,3,3537,0.2874,0.9919,1.0463,14.6035,0.1031,0.1068,0.1539,0.32562962962963,0.363851851851852,0.0722962962962963,0.238222222222222,0.444141689373297,0.256130790190736,0.0435967302452316,0.256130790190736,3.66696997270246,5.88486970684039,"hive_data/heat_brood//Beehive Data Out Trial 00109_brood.csv"
1,10,"brood",30,77,4,3,2444,0.2792,1.0788,1.0302,8.7691,0.5968,0.0973,0.746,0,0.627555555555556,0.150222222222222,0.222222222222222,0,0.588555858310627,0.158038147138965,0.253405994550409,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 00110_brood.csv"
