"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing","filenames"
1,1,"none",30,60,3,3,2859,0.646,1.0307,1.0117,10.3259,0.476,0.3024,0.5734,0.417777777777778,0.332148148148148,0.0939259259259259,0.156148148148148,0.318801089918256,0.326975476839237,0.111716621253406,0.242506811989101,4.85106382978723,6.23890276538805,"hive_data/heat_none//Beehive Data Out Trial 00101_none.csv"
1,2,"none",30,102,4,1,2697,0.8935,0.98,0.9716,19.1696,0.9683,0.6211,0.7289,0.370666666666667,0.462814814814815,0.0933333333333333,0.0731851851851852,0.455040871934605,0.422343324250681,0.0762942779291553,0.0463215258855586,5.12390087929656,8.05969270166453,"hive_data/heat_none//Beehive Data Out Trial 00102_none.csv"
1,3,"none",30,119,2,3,1148,0.9513,1.0677,0.9533,19.2952,0.5833,0.4664,0.1424,0.457777777777778,0.415407407407407,0.0524444444444444,0.0743703703703704,0.542234332425068,0.299727520435967,0.0626702997275204,0.0953678474114441,5.15210355987055,6.25510699001426,"hive_data/heat_none//Beehive Data Out Trial 00103_none.csv"
1,4,"none",30,61,3,4,1659,0.8623,0.9205,0.9995,8.1116,0.3158,0.5849,0.4127,0.397333333333333,0.439703703703704,0.0447407407407407,0.118222222222222,0.294277929155313,0.438692098092643,0.0599455040871935,0.20708446866485,4.66368381804623,5.94590296495957,"hive_data/heat_none//Beehive Data Out Trial 00104_none.csv"
1,5,"none",30,84,3,3,3462,0.3263,0.9937,0.9811,17.762,0.1448,0.893,0.8513,0.394666666666667,0.405037037037037,0.0557037037037037,0.144592592592593,0.346049046321526,0.346049046321526,0.0762942779291553,0.231607629427793,4.66066066066066,6.97453547915143,"hive_data/heat_none//Beehive Data Out Trial 00105_none.csv"
1,6,"none",30,114,2,2,3958,0.2992,1.0284,1,14.9301,0.6525,0.7356,0.6456,0.418074074074074,0.397925925925926,0.0808888888888889,0.103111111111111,0.662125340599455,0.0980926430517711,0.0217983651226158,0.217983651226158,4.9029057406095,7.17417721518987,"hive_data/heat_none//Beehive Data Out Trial 00106_none.csv"
1,7,"none",30,72,4,2,1156,0.7522,1.0681,1.082,9.1861,0.7344,0.2229,0.1726,0.394962962962963,0.398814814814815,0.0986666666666667,0.107555555555556,0.561307901907357,0.335149863760218,0.0435967302452316,0.0599455040871935,4.78169542385596,5.15132243684993,"hive_data/heat_none//Beehive Data Out Trial 00107_none.csv"
1,8,"none",30,76,2,2,2642,0.933,1.0663,0.9249,7.4094,0.2292,0.186,0.7731,0.411259259259259,0.311407407407407,0.11437037037037,0.162962962962963,0.523160762942779,0.182561307901907,0.0599455040871935,0.23433242506812,4.60806916426513,5.85847764034253,"hive_data/heat_none//Beehive Data Out Trial 00108_none.csv"
1,9,"none",30,105,3,3,1762,0.8303,1.0679,0.9672,11.1423,0.4344,0.8707,0.7122,0.459851851851852,0.348740740740741,0.0684444444444444,0.122962962962963,0.553133514986376,0.177111716621253,0.0517711171662125,0.217983651226158,4.79510309278351,6.05254035683942,"hive_data/heat_none//Beehive Data Out Trial 00109_none.csv"
1,10,"none",30,113,3,2,1390,0.4897,0.9052,1.0008,18.7495,0.8653,0.3145,0.3151,0.377481481481481,0.450666666666667,0.0865185185185185,0.0853333333333333,0.397820163487738,0.340599455040872,0.0626702997275204,0.198910081743869,4.85400313971743,7.37362261669954,"hive_data/heat_none//Beehive Data Out Trial 00110_none.csv"
1,11,"none",30,66,2,1,1476,0.5881,1.0861,0.9797,13.5777,0.2561,0.729,0.241,0.299851851851852,0.436740740740741,0.149333333333333,0.114074074074074,0.403269754768392,0.395095367847411,0.130790190735695,0.0708446866485014,4.50395256916996,8.54551560379919,"hive_data/heat_none//Beehive Data Out Trial 00111_none.csv"
1,12,"none",30,117,3,1,3200,0.8697,1.0083,0.9095,17.3338,0.1985,0.0405,0.3664,0.363259259259259,0.452444444444444,0.0808888888888889,0.103407407407407,0.463215258855586,0.381471389645777,0.0871934604904632,0.0681198910081744,4.74714518760196,7.9421021611002,"hive_data/heat_none//Beehive Data Out Trial 00112_none.csv"
1,13,"none",30,86,4,2,1269,0.9065,0.9231,0.9113,15.9678,0.9562,0.7718,0.5248,0.390518518518519,0.438222222222222,0.0779259259259259,0.0933333333333333,0.509536784741144,0.373297002724796,0.0626702997275204,0.0544959128065395,4.93474962063733,7.23691007437458,"hive_data/heat_none//Beehive Data Out Trial 00113_none.csv"
1,14,"none",30,101,2,3,1590,0.3606,1.0484,1.0532,7.5611,0.3066,0.463,0.8568,0.421925925925926,0.382518518518519,0.090962962962963,0.104592592592593,0.395095367847411,0.381471389645777,0.0899182561307902,0.133514986376022,4.77668539325843,6.62361735089078,"hive_data/heat_none//Beehive Data Out Trial 00114_none.csv"
1,15,"none",30,101,2,3,3404,0.7875,0.9685,1.0906,9.2562,0.7861,0.7487,0.7164,0.455703703703704,0.333333333333333,0.0722962962962963,0.138666666666667,0.474114441416894,0.313351498637602,0.0572207084468665,0.155313351498638,4.851755526658,6.07712888888889,"hive_data/heat_none//Beehive Data Out Trial 00115_none.csv"
