"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing"
1,1,"queen",30,112,2,1,2641,0.3249,0.969,1.0138,19.6475,0.5761,0.0896,2.8497,0.358814814814815,0.54962962962963,0.00592592592592593,0.0856296296296296,0.356948228882834,0.512261580381471,0.0108991825613079,0.119891008174387,4.62758051197358,6.76096495956873
1,2,"queen",30,63,2,4,3469,0.8174,0.9282,1.0496,16.2116,0.1775,0.1948,0.3475,0.0136296296296296,0.984,0,0.00237037037037037,0,1,0,0,0.695652173913043,11.6762481180367
1,3,"queen",30,117,2,1,2160,0.8259,1.0197,0.9561,5.0558,0.094,0.0107,4.597,0.105481481481481,0.886814814814815,0,0.0077037037037037,0.0681198910081744,0.91008174386921,0,0.0217983651226158,1.82022471910112,5.43480120280655
1,4,"queen",30,81,2,2,2318,0.891,1.0577,1.0512,12.6121,0.4597,0.6596,2.5212,0.104888888888889,0.872296296296296,0.00029629629629629,0.0225185185185185,0.0326975476839237,0.961852861035422,0.00272479564032698,0.00272479564032698,1.94915254237288,5.90874320652174
1,5,"queen",30,106,4,3,1681,0.9991,1.0881,1.0222,13.7726,0.5835,0.0428,4.5229,0.145481481481481,0.840296296296296,0,0.0142222222222222,0.103542234332425,0.893732970027248,0,0.00272479564032698,2.17107942973523,5.54058180535966
1,6,"queen",30,83,2,3,2291,0.475,0.9064,0.9582,8.8101,0.8691,0.4466,2.3841,0.205333333333333,0.767111111111111,0,0.0275555555555556,0.0871934604904632,0.912806539509537,0,0,3.31024531024531,5.66286597141754
1,7,"queen",30,97,3,1,2219,0.9541,1.0469,0.9797,13.3566,0.7605,0.126,3.5612,0.0965925925925926,0.890074074074074,0,0.0133333333333333,0.0517711171662125,0.891008174386921,0,0.0572207084468665,1.60736196319018,5.38697403462051
1,8,"queen",30,61,2,3,1024,0.4077,0.9354,1.0829,16.1543,0.2228,0.0428,4.8346,0.381333333333333,0.537777777777778,0.00029629629629629,0.0805925925925926,0.332425068119891,0.566757493188011,0.00272479564032698,0.0980926430517711,4.58741258741259,6.34405509641873
1,9,"queen",30,110,3,1,1411,0.5134,1.0461,0.9549,16.6051,0.041,0.5,4.1026,0.365037037037037,0.566518518518519,0.00918518518518519,0.0592592592592593,0.237057220708447,0.683923705722071,0.0517711171662125,0.0272479564032698,4.74025974025974,6.22202928870293
1,10,"queen",30,108,4,4,1012,0.4365,0.9372,1.0247,10.4267,0.7011,0.1893,0.587,0.304296296296296,0.646518518518518,0.00355555555555556,0.0456296296296296,0,0.967302452316076,0.0217983651226158,0.0108991825613079,4.96397273612464,8.2566819431714
1,11,"queen",30,106,4,2,3766,0.5982,1.0625,0.9303,17.3817,0.3998,0.5812,1.5931,0.166814814814815,0.794666666666667,0.00059259259259259,0.0379259259259259,0,0.994550408719346,0.00544959128065395,0,3.69804618117229,7.437956748695
1,12,"queen",30,71,3,3,3501,0.6532,0.974,1.0955,13.8726,0.5804,0.6387,2.0724,0.0580740740740741,0.929481481481481,0,0.0124444444444444,0.00272479564032698,0.997275204359673,0,0,1.52040816326531,6.34703219636596
1,13,"queen",30,80,4,3,1997,0.4517,1.0197,0.9147,15.9372,0.3269,0.3454,2.7628,0.314074074074074,0.629925925925926,0.00029629629629629,0.0557037037037037,0.147138964577657,0.841961852861035,0.00272479564032698,0.00817438692098093,4.18679245283019,5.85396048918156
1,14,"queen",30,104,4,3,1367,0.4501,0.9729,1.097,15.7231,0.9347,0.7593,2.7501,0.315259259259259,0.573333333333333,0.0157037037037037,0.0957037037037037,0.0626702997275204,0.773841961852861,0.141689373297003,0.0217983651226158,4.12781954887218,5.91577777777778
1,15,"queen",30,106,3,2,1337,0.8819,0.9089,0.9982,10.1701,0.0781,0.4939,0.8875,0.165037037037037,0.808888888888889,0.00059259259259259,0.0254814814814815,0,0.994550408719346,0.00544959128065395,0,3.75583482944345,8.78820512820513
1,16,"queen",30,107,4,3,2782,0.7159,0.915,0.9691,11.0652,0.6917,0.2947,2.3405,0.0613333333333333,0.918222222222222,0,0.0204444444444444,0.0108991825613079,0.989100817438692,0,0,1.22705314009662,6.49273636656986
1,17,"queen",30,60,4,4,2925,0.5614,0.986,1.0426,19.1796,0.3672,0.0178,2.5433,0.104296296296296,0.877925925925926,0,0.0177777777777778,0.0490463215258856,0.942779291553134,0,0.00817438692098093,1.91477272727273,5.92131623354708
1,18,"queen",30,82,2,3,1579,0.2572,0.979,0.9821,19.9587,0.0706,0.0033,4.0237,0.428148148148148,0.488,0.00266666666666667,0.0811851851851852,0.386920980926431,0.463215258855586,0,0.149863760217984,5.12110726643599,6.22590771098968
1,19,"queen",30,89,4,3,1631,0.501,1.0615,1.0728,11.9595,0.1353,0.5086,4.5964,0.359407407407407,0.592296296296296,0.00029629629629629,0.048,0.291553133514986,0.667574931880109,0.00272479564032698,0.0381471389645777,4.75845012366035,6.04787893946973
