"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing","filenames"
1,1,"worker",30,73,4,1,2546,0.8413,0.9665,1.0513,7.0831,0.1422,0.4778,0.2525,0.390518518518519,0.354074074074074,0.126518518518519,0.128888888888889,0.427792915531335,0.267029972752044,0.0871934604904632,0.217983651226158,4.57207890743551,5.73543933054393,"hive_data/heat_worker//Beehive Data Out Trial 00101_worker.csv"
1,2,"worker",30,75,2,1,1663,0.2438,1.0821,1.0552,5.2205,0.4768,0.5663,0.1866,0.299259259259259,0.36,0.179555555555556,0.161185185185185,0.171662125340599,0.411444141689373,0.316076294277929,0.100817438692098,4.14059405940594,6.59320164609053,"hive_data/heat_worker//Beehive Data Out Trial 00102_worker.csv"
1,3,"worker",30,95,4,3,2864,0.7948,1.0251,0.9485,8.8639,0.8402,0.0173,0.3872,0.499259259259259,0.302518518518519,0.0802962962962963,0.117925925925926,0.550408719346049,0.212534059945504,0.0544959128065395,0.182561307901907,4.98872403560831,5.25874632713026,"hive_data/heat_worker//Beehive Data Out Trial 00103_worker.csv"
1,4,"worker",30,106,3,4,1971,0.414,1.057,0.9251,15.8995,0.6079,0.6738,0.0073,0.445333333333333,0.379259259259259,0.0539259259259259,0.121481481481481,0.346049046321526,0.408719346049046,0.130790190735695,0.114441416893733,4.54025282767798,6.0321484375,"hive_data/heat_worker//Beehive Data Out Trial 00104_worker.csv"
1,5,"worker",30,98,4,3,1518,0.2689,0.9153,1.0121,5.7873,0.1339,0.3676,0.9076,0.399703703703704,0.437925925925926,0.0885925925925926,0.0737777777777778,0.471389645776567,0.356948228882834,0.0871934604904632,0.0844686648501362,4.529280948851,4.11553450608931,"hive_data/heat_worker//Beehive Data Out Trial 00105_worker.csv"
1,6,"worker",30,73,3,4,2274,0.8486,1.0309,0.9422,19.1155,0.6445,0.364,0.6799,0.397333333333333,0.390222222222222,0.0598518518518519,0.152592592592593,0.659400544959128,0.23433242506812,0.0245231607629428,0.0817438692098093,4.5503355704698,6.07121488230828,"hive_data/heat_worker//Beehive Data Out Trial 00106_worker.csv"
1,7,"worker",30,117,2,1,2683,0.4079,1.0905,0.948,19.5685,0.6866,0.5419,0.9272,0.350518518518519,0.473185185185185,0.105481481481481,0.0708148148148148,0.337874659400545,0.430517711171662,0.17983651226158,0.0517711171662125,4.86221470836855,8.46054477144646,"hive_data/heat_worker//Beehive Data Out Trial 00107_worker.csv"
1,8,"worker",30,103,2,3,3091,0.9844,0.9951,0.9667,12.5683,0.3242,0.3199,0.4366,0.446518518518519,0.347555555555556,0.0666666666666667,0.139259259259259,0.550408719346049,0.217983651226158,0.0681198910081744,0.163487738419619,4.8586595885866,6.17445865302643,"hive_data/heat_worker//Beehive Data Out Trial 00108_worker.csv"
1,9,"worker",30,106,2,1,3367,0.7896,0.9091,0.9092,18.6324,0.3339,0.5118,0.1861,0.361481481481481,0.468740740740741,0.093037037037037,0.0767407407407407,0.408719346049046,0.4141689373297,0.136239782016349,0.0408719346049046,5.05081967213115,7.95554361567636,"hive_data/heat_worker//Beehive Data Out Trial 00109_worker.csv"
1,10,"worker",30,72,3,1,2261,0.2316,1.0525,0.943,6.2719,0.9896,0.8408,0.5149,0.389037037037037,0.276148148148148,0.175703703703704,0.159111111111111,0.272479564032698,0.405994550408719,0.283378746594005,0.0381471389645777,4.41584158415842,5.43581545064378,"hive_data/heat_worker//Beehive Data Out Trial 00110_worker.csv"
1,11,"worker",30,88,3,3,3235,0.933,1.0765,1.0816,15.8804,0.7254,0.0491,0.2655,0.388444444444444,0.347851851851852,0.077037037037037,0.186666666666667,0.302452316076294,0.395095367847411,0.177111716621253,0.125340599455041,4.43020594965675,6.36221465076661,"hive_data/heat_worker//Beehive Data Out Trial 00111_worker.csv"
1,12,"worker",30,93,4,1,1863,0.3462,1.0954,1.0249,16.5913,0.2885,0.4496,0.1232,0.352,0.44237037037037,0.133037037037037,0.0725925925925926,0.332425068119891,0.4141689373297,0.193460490463215,0.0599455040871935,4.81986531986532,7.4935432016075,"hive_data/heat_worker//Beehive Data Out Trial 00112_worker.csv"
1,13,"worker",30,103,4,4,2987,0.2281,0.9386,0.9095,6.3827,0.9202,0.7723,0.2816,0.449185185185185,0.287703703703704,0.0998518518518519,0.163259259259259,0.419618528610354,0.362397820163488,0.166212534059946,0.0517711171662125,4.31002638522427,3.13173017507724,"hive_data/heat_worker//Beehive Data Out Trial 00113_worker.csv"
1,14,"worker",30,120,3,3,1607,0.2889,0.9879,1.07,11.7587,0.3224,0.2422,0.666,0.408296296296296,0.396444444444444,0.088,0.107259259259259,0.476839237057221,0.365122615803815,0.122615803814714,0.0354223433242507,4.57184325108853,5.52381913303438,"hive_data/heat_worker//Beehive Data Out Trial 00114_worker.csv"
1,15,"worker",30,109,3,4,1175,0.9379,0.9646,0.9472,13.2252,0.6047,0.4024,0.9145,0.440296296296296,0.387851851851852,0.0802962962962963,0.0915555555555556,0.536784741144414,0.32425068119891,0.0626702997275204,0.0762942779291553,4.86541049798116,6.26507257448434,"hive_data/heat_worker//Beehive Data Out Trial 00115_worker.csv"
1,16,"worker",30,68,4,1,3234,0.5285,0.9655,0.9116,17.0349,0.8297,0.2455,0.2568,0.334518518518518,0.450962962962963,0.116740740740741,0.0977777777777778,0.490463215258856,0.346049046321526,0.119891008174387,0.0435967302452316,4.72099202834367,8.3238961892247,"hive_data/heat_worker//Beehive Data Out Trial 00116_worker.csv"
1,17,"worker",30,89,2,1,2340,0.5689,0.9175,0.9595,18.5825,0.3989,0.2877,0.233,0.349333333333333,0.463111111111111,0.108148148148148,0.0794074074074074,0.367847411444142,0.397820163487738,0.168937329700272,0.0653950953678474,4.94995759117896,8.47828534868842,"hive_data/heat_worker//Beehive Data Out Trial 00117_worker.csv"
1,18,"worker",30,99,4,3,1313,0.563,1.023,0.9393,17.0052,0.9391,0.2941,0.0657,0.388740740740741,0.433777777777778,0.0714074074074074,0.106074074074074,0.386920980926431,0.403269754768392,0.0899182561307902,0.119891008174387,4.6905487804878,6.96666666666667,"hive_data/heat_worker//Beehive Data Out Trial 00118_worker.csv"
1,19,"worker",30,118,2,2,3350,0.2012,0.9772,1.0024,11.4923,0.0234,0.5054,0.7848,0.394666666666667,0.414222222222222,0.112592592592593,0.0785185185185185,0.318801089918256,0.400544959128065,0.163487738419619,0.11716621253406,4.94594594594595,7.42100858369099,"hive_data/heat_worker//Beehive Data Out Trial 00119_worker.csv"
1,20,"worker",30,117,2,3,1722,0.439,0.9943,1.0934,14.9428,0.5817,0.3208,0.3331,0.416,0.407407407407407,0.0625185185185185,0.114074074074074,0.405994550408719,0.397820163487738,0.119891008174387,0.0762942779291553,4.66951566951567,6.57338909090909,"hive_data/heat_worker//Beehive Data Out Trial 00120_worker.csv"
