"...1","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,30,120,2,2,2490,0.52,0.9615,1.0506,16.5659,0.166814814814815,0.579555555555556,0.200296296296296,0.0533333333333333,2.39786856127886,6.17701942740286
1,30,101,4,4,1200,0.7908,1.0141,1.0899,19.9823,0.20237037037037,0.543407407407407,0.2,0.0542222222222222,2.02635431918009,2.45181570338059
1,30,104,3,3,1269,0.8744,0.9194,1.0446,14.3815,0.196444444444444,0.558518518518519,0.19762962962963,0.0474074074074074,2.32579185520362,5.27807957559682
1,30,119,4,3,2286,0.881,1.0141,1.0803,16.36,0.260444444444444,0.508444444444444,0.171851851851852,0.0592592592592593,2.50056882821388,2.10275058275058
1,30,70,3,1,2140,0.4005,1.0012,0.9949,12.6119,0.16,0.537777777777778,0.241777777777778,0.0604444444444444,2.18148148148148,5.53849035812672
1,30,114,2,4,3112,0.473,0.9828,0.9688,13.4618,0.125037037037037,0.549925925925926,0.265777777777778,0.0592592592592593,1.67298578199052,6.40588900862069
1,30,85,2,4,3518,0.5473,0.9564,1.0919,12.5703,0.134222222222222,0.633185185185185,0.173925925925926,0.0586666666666667,1.84988962472406,5.30181094992981
1,30,116,3,4,1687,0.8077,1.0992,0.9086,8.4656,0.177777777777778,0.433481481481481,0.338962962962963,0.0497777777777778,2.16333333333333,4.57341079972659
1,30,69,4,2,1420,0.4387,0.9194,1.0297,9.6192,0.156148148148148,0.579555555555556,0.22637037037037,0.0379259259259259,2.07210626185958,5.21696830265849
1,30,112,2,2,2952,0.6583,0.9959,0.9895,15.0318,0.157925925925926,0.541925925925926,0.248592592592593,0.0515555555555556,1.90994371482176,5.24358665937671
1,30,92,4,4,2319,0.8507,1.0389,1.0544,7.3053,0.218962962962963,0.499259259259259,0.204444444444444,0.0773333333333333,2.40866035182679,3.34840949554896
1,30,71,3,1,1278,0.4434,1.0371,1.0716,11.0512,0.156740740740741,0.547259259259259,0.229037037037037,0.066962962962963,1.765595463138,4.65392528424472
1,30,119,3,3,2850,0.4163,1.0807,0.968,6.6323,0.232592592592593,0.412444444444444,0.285037037037037,0.0699259259259259,2.23949044585987,2.65985632183908
1,30,100,3,1,1337,0.4281,1.0625,1.0674,7.8516,0.196444444444444,0.510222222222222,0.218666666666667,0.0746666666666667,2.33182503770739,5.13984901277584
1,30,96,3,3,3396,0.7256,0.9216,1.0897,9.2742,0.16,0.633777777777778,0.141925925925926,0.0642962962962963,1.8037037037037,3.54272089761571
1,30,101,2,1,2165,0.9572,0.9081,1.0241,10.2925,0.151703703703704,0.592,0.210074074074074,0.0462222222222222,2.12109375,5.86739239239239
1,30,64,3,1,3118,0.9463,1.0142,1.002,19.9592,0.115851851851852,0.532740740740741,0.279407407407407,0.072,1.48849104859335,4.96005561735261
1,30,88,3,1,3060,0.2279,0.9812,1.0874,15.8666,0.15437037037037,0.589925925925926,0.200592592592593,0.0551111111111111,1.87715930902111,4.56918131592165
1,30,90,2,3,1075,0.7412,0.99,1.0428,15.3638,0.186962962962963,0.524444444444444,0.229333333333333,0.0592592592592593,2.56101426307448,6.66822033898305
1,30,72,3,4,3517,0.4302,1.0159,1.0786,11.8255,0.155851851851852,0.553185185185185,0.208592592592593,0.0823703703703704,2.04942965779468,4.44870915907874
1,30,75,2,3,3242,0.5037,0.9506,0.9522,6.9,0.100148148148148,0.583703703703704,0.277037037037037,0.0391111111111111,1.82248520710059,7.10341116751269
1,30,82,4,2,2085,0.3317,0.9805,1.0807,10.9747,0.182814814814815,0.568888888888889,0.191407407407407,0.0568888888888889,2.31766612641815,3.76755729166667
1,30,67,2,1,2649,0.2984,0.9095,0.9684,19.6409,0.0939259259259259,0.618074074074074,0.25037037037037,0.0376296296296296,1.65299684542587,6.71018216682646
1,30,85,4,1,1726,0.8943,0.9362,0.9462,14.7104,0.136888888888889,0.544,0.280296296296296,0.0388148148148148,1.58441558441558,4.90640522875817
1,30,99,2,1,1698,0.7427,1.0536,0.9355,16.867,0.160296296296296,0.489777777777778,0.304592592592593,0.0453333333333333,2.29205175600739,7.06456745311555
1,30,102,3,3,2499,0.2177,1.0826,0.9508,19.38,0.168,0.472,0.288,0.072,2.01058201058201,4.45888888888889
1,30,72,3,1,1040,0.9674,1.0895,1.0528,5.22,0.181925925925926,0.516740740740741,0.235259259259259,0.0660740740740741,2.1042345276873,3.76921444954128
1,30,100,2,2,2978,0.2281,1.0659,1.0609,19.6143,0.193777777777778,0.492444444444444,0.225185185185185,0.0885925925925926,2.42201834862385,6.01582430806257
1,30,113,4,2,3142,0.8845,1.0229,0.9101,5.7159,0.165037037037037,0.448,0.350814814814815,0.0361481481481482,1.77737881508079,2.94945105820106
1,30,105,4,3,3947,0.3753,0.9494,1.0217,19.3047,0.184592592592593,0.582222222222222,0.188148148148148,0.045037037037037,1.92616372391653,3.24119083969466
1,30,108,4,2,1886,0.8696,1.0833,0.9776,19.9144,0.209185185185185,0.45837037037037,0.286518518518519,0.0459259259259259,2.04249291784703,2.3193665158371
1,30,60,2,2,1942,0.7388,0.9127,0.9232,5.4021,0.0841481481481482,0.567703703703704,0.310222222222222,0.0379259259259259,1.45070422535211,7.32926409185804
1,30,73,4,1,3801,0.428,0.966,0.932,14.6668,0.0945185185185185,0.566518518518519,0.288,0.050962962962963,1.24137931034483,4.69201359832636
1,30,112,4,3,3987,0.7529,1.0425,0.9046,13.5359,0.140444444444444,0.432,0.38637037037037,0.0411851851851852,1.34599156118143,3.03168038408779
1,30,77,3,3,2961,0.3552,1.0135,1.0649,16.279,0.170074074074074,0.550222222222222,0.213333333333333,0.0663703703703704,1.9581881533101,4.29081313947227
1,30,75,2,1,2232,0.8688,0.9065,0.9285,19.1795,0.101925925925926,0.567111111111111,0.297481481481481,0.0334814814814815,1.49418604651163,7.60199582027168
1,30,69,3,3,3381,0.5881,1.0144,0.9045,16.2084,0.0761481481481481,0.498666666666667,0.377185185185185,0.048,1.01945525291829,6.44503862150921
1,30,91,3,3,3006,0.2379,1.052,1.0743,14.7097,0.23762962962963,0.489185185185185,0.207111111111111,0.0660740740740741,2.40648379052369,2.94838279830406
1,30,105,4,1,1161,0.2682,0.9596,1.048,6.2676,0.20237037037037,0.551407407407407,0.211259259259259,0.034962962962963,2.67935578330893,5.08813541106932
1,30,109,3,4,2908,0.7462,1.0529,1.0459,18.2119,0.236444444444444,0.467555555555556,0.222222222222222,0.0737777777777778,2.51127819548872,3.41599493029151
1,30,69,2,4,3027,0.4164,0.9145,0.9814,15.1752,0.107259259259259,0.617481481481482,0.237925925925926,0.0373333333333333,1.53591160220994,6.83530710172745
1,30,74,3,4,3894,0.6997,0.9605,1.0893,12.8987,0.147259259259259,0.62962962962963,0.157333333333333,0.0657777777777778,1.73843058350101,3.88486117647059
1,30,88,2,3,3711,0.9032,1.0759,0.9393,12.7099,0.138074074074074,0.391111111111111,0.393777777777778,0.077037037037037,1.69098712446352,6.93818181818182
1,30,119,3,4,2674,0.9598,1.0447,0.9294,10.1419,0.175703703703704,0.430814814814815,0.34162962962963,0.0518518518518519,1.82462057335582,3.98682943603851
1,30,118,3,4,1001,0.2934,1.0304,1.0314,7.4779,0.208,0.520592592592593,0.224,0.0474074074074074,2.61538461538462,4.9792202618099
1,30,65,2,1,3088,0.8,0.9151,1.045,19.0522,0.0882962962962963,0.648592592592593,0.201185185185185,0.0619259259259259,1.66442953020134,6.53167656464139
1,30,64,3,1,1209,0.7972,1.0608,0.903,9.5363,0.117925925925926,0.493333333333333,0.33362962962963,0.0551111111111111,1.74371859296482,6.59416816816817
1,30,79,4,1,3625,0.2188,0.9265,0.9765,18.4125,0.111407407407407,0.634074074074074,0.211555555555556,0.042962962962963,1.29787234042553,4.16454672897196
1,30,79,2,4,2188,0.9413,1.0088,0.9555,12.6959,0.104296296296296,0.520888888888889,0.320592592592593,0.0542222222222222,1.60795454545455,6.98313424345848
1,30,109,4,2,1754,0.5274,0.9915,1.0914,10.7159,0.219259259259259,0.545185185185185,0.182518518518519,0.053037037037037,2.18378378378378,3.18202717391304
1,30,69,3,2,2492,0.4062,1.0404,1.026,15.1747,0.168888888888889,0.506074074074074,0.251555555555556,0.0734814814814815,2.11228070175439,4.46094847775176
1,30,70,3,2,3743,0.9558,1.0577,1.0558,19.1855,0.181333333333333,0.471111111111111,0.222222222222222,0.125333333333333,1.86274509803922,3.39421383647799
1,30,83,4,4,3507,0.8878,0.93,1.0702,16.2852,0.156740740740741,0.626074074074074,0.156444444444444,0.0607407407407407,1.73156899810964,3.92878845243729
1,30,75,4,1,1423,0.8027,0.9789,0.9397,18.5463,0.149333333333333,0.52237037037037,0.282666666666667,0.0456296296296296,1.94444444444444,5.20698241633579
1,30,116,4,3,2298,0.4603,0.9062,1.05,9.762,0.171851851851852,0.59762962962963,0.191111111111111,0.0394074074074074,1.9,3.40609320773426
1,30,78,3,3,2620,0.2078,0.941,1.0947,15.2482,0.126814814814815,0.632296296296296,0.201185185185185,0.0397037037037037,1.75700934579439,5.30332239925023
1,30,105,4,4,2182,0.505,1.0983,1.0277,11.216,0.268740740740741,0.442962962962963,0.228444444444444,0.0598518518518519,2.53362734288864,2.1796856187291
1,30,84,4,1,3317,0.5799,1.0377,1.0697,12.4803,0.198814814814815,0.503407407407407,0.204444444444444,0.0933333333333333,2.01788375558867,2.98550912301354
1,30,101,4,3,1749,0.834,1.049,1.0706,13.8818,0.225185185185185,0.504,0.199703703703704,0.0711111111111111,2.32894736842105,2.86207524985303
1,30,102,4,4,2543,0.6917,0.9217,1.0419,14.6202,0.180148148148148,0.583703703703704,0.184888888888889,0.0512592592592593,1.96381578947368,3.60745177664975
1,30,62,4,1,3846,0.2607,1.0714,1.0413,11.8191,0.2,0.456296296296296,0.249481481481481,0.0942222222222222,1.95259259259259,2.86863636363636
1,30,120,3,3,3282,0.9291,0.971,1.0754,19.7393,0.225185185185185,0.561481481481481,0.152296296296296,0.061037037037037,2.41315789473684,3.25563060686016
1,30,66,4,2,2693,0.2425,0.9881,1.0354,18.1521,0.117925925925926,0.595259259259259,0.226666666666667,0.0601481481481481,1.58793969849246,3.99399701343952
1,30,72,4,3,3580,0.4942,0.9153,1.0699,13.5743,0.127703703703704,0.654222222222222,0.16562962962963,0.0524444444444444,1.4245939675174,4.13228260869565
1,30,100,4,1,3374,0.5607,1.0049,1.0377,13.5625,0.204740740740741,0.529185185185185,0.207407407407407,0.0586666666666667,2.2315484804631,2.78968085106383
1,30,79,4,1,2612,0.702,1.0259,1.0275,7.6093,0.192592592592593,0.50637037037037,0.234962962962963,0.0660740740740741,1.92307692307692,2.67196606202458
1,30,116,2,3,2181,0.6083,1.0617,1.0788,7.0693,0.210666666666667,0.495407407407407,0.212148148148148,0.0817777777777778,2.44444444444444,4.65965909090909
1,30,99,3,3,1992,0.8474,1.0413,1.0665,19.6167,0.215703703703704,0.512296296296296,0.207111111111111,0.0648888888888889,2.4478021978022,3.98759398496241
1,30,91,4,2,3678,0.624,0.9691,1.0363,11.9666,0.150518518518519,0.586962962962963,0.193777777777778,0.0687407407407407,1.58267716535433,3.33861181221605
1,30,78,2,3,3178,0.6481,1.0032,0.9555,15.7676,0.111111111111111,0.515259259259259,0.320888888888889,0.0527407407407407,1.808,7.00711328349626
1,30,112,4,2,2498,0.5294,1.0035,0.9062,12.7045,0.149925925925926,0.498962962962963,0.311111111111111,0.04,1.90909090909091,4.84599168646081
1,30,79,2,4,3399,0.5284,1.0085,1.092,15.8928,0.152888888888889,0.572444444444444,0.192592592592593,0.0820740740740741,2,5.09339026915114
1,30,90,4,4,3613,0.3183,0.986,1.0224,16.5745,0.183111111111111,0.547555555555556,0.215703703703704,0.0536296296296296,2.0453074433657,3.59394480519481
1,30,85,4,3,2350,0.4622,1.0647,1.0612,8.5003,0.218962962962963,0.493037037037037,0.213925925925926,0.0740740740740741,1.89445196211096,1.96630408653846
1,30,116,3,2,3505,0.8229,0.9697,1.0193,19.4579,0.18637037037037,0.545777777777778,0.220148148148148,0.0477037037037037,1.98410174880763,4.09370249728556
1,30,64,3,2,1462,0.5958,0.9218,0.9319,19.2824,0.108148148148148,0.567703703703704,0.282074074074074,0.0420740740740741,1.55616438356164,7.13244780793319
1,30,60,4,4,1700,0.7621,0.907,1.0436,19.2211,0.125925925925926,0.615407407407407,0.205925925925926,0.0527407407407407,1.60941176470588,4.15316321617718
1,30,89,3,3,2488,0.3819,0.9565,0.9347,17.3472,0.143111111111111,0.553777777777778,0.258074074074074,0.045037037037037,2.07453416149068,5.10925093632959
1,30,83,3,3,2712,0.7375,0.9612,0.9972,8.6741,0.135407407407407,0.565333333333333,0.243851851851852,0.0554074074074074,1.7417943107221,4.84488469601677
1,30,110,3,3,1272,0.6386,0.9995,0.992,8.6397,0.180444444444444,0.526518518518518,0.248,0.045037037037037,2.41707717569787,6.20589758019133
1,30,112,2,1,1681,0.5692,1.0251,1.0766,13.5852,0.208888888888889,0.528888888888889,0.205925925925926,0.0562962962962963,2.68936170212766,5.52335574229692
1,30,94,2,3,1617,0.293,0.9799,0.9138,10.1462,0.154666666666667,0.547851851851852,0.253925925925926,0.0435555555555556,2.57088122605364,7.19840995132504
1,30,102,3,1,3687,0.5494,1.0236,1.0951,5.8441,0.226074074074074,0.523851851851852,0.164444444444444,0.0856296296296296,2.2778505897772,2.5543721719457
1,30,68,2,4,3860,0.8626,1.0758,0.9364,9.511,0.0927407407407407,0.390814814814815,0.436148148148148,0.0802962962962963,1.39936102236422,6.70817285822593
